Flight_ID,Airline,Source,Destination,Departure_Date,Departure_Time,Arrival_Time,Duration,Total_Stops,Distance_km,Travel_Class,Days_Before_Departure,Season,Weekday,Aircraft_Type,Booking_Channel,Passenger_Count,Price
FL151292,British Airways,Doha,Dubai Airport,2026-02-05,22:50,23:48,0h 59m,0,376.4,Premium Economy,162,Winter,Thursday,Airbus A320,Mobile App,2,15000
FL138719,Emirates,Singapore Airport,New York Airport,2026-05-24,19:25,4:54 PM,,,15583.5,Economy,2,Summer,Sunday,Airbus A350,Third-Party,1,200000
FL180176,Indigo,HYD,Kolkata,2026-06-24,13:50,15:51,2h 02m,non-stop,1189.7,Business,11,Monsoon,Wednesday,Airbus A320,Airport Counter,1,20785.21
FL116252,Etihad Airways,Kolkata,BKK,2025-03-28,15:05,5:39 PM,155 min,0,1624.9,Economy,10,Summer,Friday,Airbus A380,Website,1,32822.58
FL102657,Thai Airways,Singapore,New York,2025-07-08,4:50 PM,15:29,22h 40m,1,15941.1,Economy,9,Monsoon,,Boeing 777,Website,4,193690.74
FL181288,Air India,,JFK,2026-10-10,5:20 AM,00:05,18h 45m,0,14240.1,Economy,6,Autumn,Saturday,Airbus A320,Mobile App,2,
FL121331,Qatar Airways,SIN,Hyderabad,2025-03-22,10:15 PM,4:19 AM,6h 04m,1 stop,3523.9,Economy,11,Summer,Saturday,Airbus A380,Website,,43430.61
FL131403,Indigo,BOM,Delhi,2025-06-25,7:25 PM,21:23,1.98,0,1151.0,Economy,2,Monsoon,Wednesday,Boeing 737,Mobile App,1,9024.38
FL100628,GoFirst,Bangalore,Kolkata,2026-04-22,2:55 PM,17:32,2h 38m,non-stop,1660.4,Economy,156,Summer,Wednesday,Airbus A321,Travel Agent,1,
FL116782,Thai Airways,,FRA,2026-02-18,8:50 PM,06:24,,0,7079.5,Economy,2,Winter,Wednesday,Airbus A380,Travel Agent,6,"Rs. 151,632.89"
FL120872,Vistara,Delhi Airport,,2025-07-03,03:20,07:42,4.38,1 stop,1777.4,Business,37,Monsoon,Thursday,Airbus A320,Website,6,22980.44
FL117659,VISTARA,Goa,SYD,2025-08-10,15:50,06:50,900 min,1,10018.3,Economy,33,Monsoon,Sunday,Boeing 777,Website,4,
FL142039,Lufthansa,Doha Airport,SYD,2026-04-13,12:35,5:53 AM,1039 min,0,13116.4,Economy,,Summer,Monday,Airbus A380,Mobile App,1,174107.59
FL158808,,Jaipur,Delhi,,22:10,22:58,0h 49m,non-stop,242.7,Business,37,Summer,Monday,ATR 72,Mobile App,3,4624.87
FL122630,air india,Kolkata,Hyderabad Airport,2025-10-03,6:40 PM,22:06,3h 27m,1,,Economy,7,Autumn,Friday,Airbus A320,Third-Party,,8910.2
FL142865,Etihad Airways,New York Airport,MAA,2026-03-08,05:40,02:05,20h 26m,1 stop,14280.9,Economy,38,Summer,Sunday,Airbus A320,,1,153026.72
FL160383,Air India,JAI,,2026-12-26,3:35 AM,05:50,2h 16m,non-stop,1375.8,Economy,13,Winter,Saturday,Airbus A320,Mobile App,3,10661.72
FL167167,British Airways,Mumbai,Doha,,06:20,12:01 PM,5h 41m,2 stops,2318.8,Business,12,Monsoon,Monday,,Travel Agent,5,65139.15
FL112404,Vistara,,Pune Airport,2025-10-11,2:15 PM,17:30,3h 16m,1 stop,943.0,Economy,28,,Saturday,Airbus A321,Mobile App,2,3792.59
FL195070,,Hyderabad,Bangkok,2025-07-31,14:00,18:51,4h 52m,1,2482.9,Economy,4,Monsoon,Thursday,Airbus A320,Mobile App,1,28319.86
FL170727,Vistara,New York,Singapore,2025-10-20,2:35 AM,1:01 AM,1346 min,1,16315.1,Economy,85,Autumn,Monday,Boeing 787 Dreamliner,Mobile App,3,90007.67
FL104765,Emirates,DOH,,2025-07-26,07:50,10:15 AM,146 min,1,381.1,Business,7,Monsoon,Saturday,Airbus A320,Website,1,16510.18
FL157391,VISTARA,Bangkok,Jaipur,2025-07-23,13:30,8:33 PM,423 min,2,2981.1,Economy,30,Monsoon,Wednesday,Boeing 787 Dreamliner,Travel Agent,5,16756.81
FL180239,Singapore Airlines,Hyderabad,Sydney,2025-01-30,4:15 PM,06:44,14h 29m,1 stop,10024.7,Business,29,Winter,Thursday,Boeing 787 Dreamliner,Website,two,200000
FL184738,SpiceJet,Bangalore,Chennai Airport,2025-10-11,12:20,14:37,137 min,1 stop,298.6 km,Economy,98,Autumn,Saturday,ATR 72,Mobile App,3,2000
FL167891,Singapore Airlines,Sydney,Kolkata,2025-04-24,04:25,6:46 PM,14h 22m,1 stop,9483.9,Premium Economy,53,Summer,Thursday,Boeing 787 Dreamliner,Mobile App,4,119554.19
FL155977,Emirates,Chennai Airport,Sydney,2025-07-26,10:15 PM,2:13 PM,959 min,2 stops,9663.9,Economy,0,Monsoon,Saturday,Boeing 787 Dreamliner,Website,1,133033.77
FL146762,,Delhi,London,2025-09-23,1:40 PM,12:40 AM,660 min,1,6975.8,Economy,44,Monsoon,Tuesday,Boeing 777,Website,3,65299.03
FL178562,AirAsia India,Hyderabad,Bangalore,2026-04-13,17:10,18:21,71 min,non-stop,535.5,,11,Summer,Monday,Boeing 737,Website,1,4309.05
FL191486,,Hyderabad,Singapore Airport,2026-04-29,1:55 PM,6:52 PM,4h 58m,,3477.7,Economy,47,Summer,Wednesday,Boeing 787 Dreamliner,Mobile App,2,37311.14
FL100928,airasia india,Hyderabad,Delhi,2025-06-22,03:50,06:03,2h 14m,0,1346.5,Economy,21,Monsoon,Sunday,Airbus A321,Website,4,6180.99
FL171098,Lufthansa,BLR,DOH,,04:40,10:19,339 min,1,3137.1,Economy,,Autumn,Saturday,Boeing 787 Dreamliner,Website,1,18254.96
FL175929,,Delhi,Dubai Airport,2025-03-11,20:35,00:08,3h 33m,0,2379.3,Business,36,Summer,Tuesday,Boeing 777,Mobile App,1,99779.94
FL155961,Singapore Airlines,,Pune,2026-05-04,07:25,00:40,17h 15m,0,13065.9,Business,10,Summer,Monday,Airbus A350,,2,200000
FL195655,Emirates,SIN,Doha,2025-03-03,10:50 AM,9:39 PM,10.83,2 stops,6203.9,Premium Economy,13,Summer,Monday,Airbus A350,,2,99204.08
FL162957,Etihad Airways,Doha,Dubai,2025-01-11,03:05,5:43 AM,2h 39m,1,404.8,Premium Economy,43,Winter,Saturday,Boeing 777,Website,6,15000
FL172651,Qatar Airways,New York,Frankfurt,2025-06-08,16:35,1:07 AM,8h 33m,non-stop,6277.4,First,34,Monsoon,,Airbus A380,Mobile App,2,200000
FL135456,Singapore Airlines,Kolkata,Sydney,2026-12-31,12:20,2:40 AM,14h 21m,1,,Economy,37,Winter,Thursday,Boeing 777,Mobile App,2,63293.25
FL115172,QATAR AIRWAYS,Dubai,Bangalore,2026-09-11,2:10 PM,7:26 PM,5h 16m,1 stop,2707.0,Economy,8,Monsoon,Friday,Boeing 777,Travel Agent,1,30865.66
FL150864,AirAsia India,Hyderabad,Bangalore,2025-08-19,2:05 AM,3:14 AM,1h 09m,0,512.9,Economy,6,Monsoon,Tuesday,Boeing 737,Website,1,3077.63
FL147121,Lufthansa,New York,Bangkok,,1:20 PM,9:44 AM,20h 24m,1,14668.7,Premium Economy,29,Monsoon,,Boeing 787 Dreamliner,Mobile App,3,164760.86
FL125559,VISTARA,Hyderabad,Goa,2025-05-28,04:05,05:17,1h 12m,0,547.9,Premium Economy,45,Summer,Wednesday,Airbus A320,Mobile App,1,"Rs. 4,534.73"
FL160675,Air India,Jaipur,,2025-04-27,5:25 PM,21:09,3h 44m,1,1664.0 km,Economy,31,Summer,Sunday,Airbus A321,,1,9637.73
FL158331,EMIRATES,New York,Dubai,,4:50 AM,11:49 PM,19h 00m,2 stops,11814.1,Economy,11,Monsoon,Friday,Airbus A350,Mobile App,1,112678.82
FL113986,Singapore Airlines,Jaipur,SIN,2026-05-30,12:40 AM,6:36 AM,5h 57m,0,4248.7,Economy,107,Summer,Saturday,,Website,2,52248.75
FL180163,AirAsia India,Goa Airport,Hyderabad,2025-09-11,11:45,12:59 PM,1.24,non-stop,574.5,Business,10,Monsoon,Thursday,Airbus A320,Mobile App,1,10097.96
FL100612,British Airways,AMD,Sydney,2025-06-12,18:50,10:31 AM,15h 42m,,10933.6,Economy,13,Monsoon,Thursday,,Mobile App,2,114170.17
FL141820,Emirates,Delhi,Dubai,2026-07-27,2:45 AM,7:59 AM,5h 15m,1 stop,2378.1,Premium Economy,152,Monsoon,Monday,Boeing 777,Website,,28388.46
FL145352,Emirates,Sydney,Hyderabad,2026-09-02,10:10 PM,1:20 PM,15h 10m,1,10225.9,Economy,0,,Wednesday,Airbus A350,Mobile App,2,149198.75
FL133426,Emirates,Chennai,Frankfurt,2026-08-08,00:30,12:01,11h 32m,1 stop,7591.0,Economy,40,Monsoon,Saturday,Airbus A320,,2,63399.75
FL136000,AirAsia India,BOM,Pune,2026-04-09,1:20 AM,2:05 AM,0.75,0,,Economy,13,Summer,,,Website,2,2000
FL189069,etihad airways,Singapore,Hyderabad,2026-02-25,8:40 AM,1:31 PM,4h 51m,0,3396.6,Economy,63,Winter,Wednesday,Airbus A320,Travel Agent,,"Rs. 45,690.74"
FL135619,Singapore Airlines,Singapore,Bangalore,2025-07-02,5:35 PM,23:38,6h 04m,1,3356.1,Premium Economy,43,,Wednesday,Boeing 787 Dreamliner,Mobile App,2,35778.53
FL109845,Etihad Airways,Sydney,Ahmedabad,2025-09-06,3:40 PM,6:29 AM,14.83,non-stop,11178.3,Premium Economy,2,Monsoon,Saturday,Boeing 787 Dreamliner,Airport Counter,1,200000
FL111650,British Airways,BKK,London Airport,2026-01-29,17:05,07:32,14.45,1,9615.3,Economy,7,Winter,Thursday,Boeing 777,Website,4,145766.19
FL177653,Singapore Airlines,New York,JAI,2026-02-13,9:30 PM,14:35,17.09,1 stop,12082.8,Economy,75,Winter,Friday,Boeing 777,Website,2,"Rs. 116,295.34"
FL138481,AirAsia India,Hyderabad,Jaipur,2025-01-03,03:05,5:03 AM,1h 59m,non-stop,1150.7,Economy,3,Winter,Friday,ATR 72,,3,9119.74
FL191644,,Dubai,Kolkata,2026-10-09,,07:23,393 min,1,3391.2,Premium Economy,5,Autumn,Friday,Airbus A380,Travel Agent,4,"Rs. 73,221.50"
FL178388,Lufthansa,Singapore Airport,Sydney,,08:45,7:17 PM,10h 33m,,,Economy,2,Summer,Tuesday,Boeing 787 Dreamliner,Mobile App,1,99152.22
FL167773,Indigo,BOM,,2026-12-04,07:15,9:07 AM,1h 53m,0,1073.2,Economy,0,Winter,Friday,ATR 72,Travel Agent,1,10774.88
FL161328,Lufthansa,JFK,Kolkata,2025-09-29,10:20 PM,15:48,17h 29m,non-stop,13245.4,First,4,Monsoon,Monday,Airbus A320,Website,2,200000
FL156515,Vistara,Ahmedabad,Singapore,2025-11-13,07:30,1:29 PM,360 min,0,4285.6,Economy,7,Autumn,Thursday,Boeing 777,Website,four,50650.47
FL135805,Etihad Airways,BLR,Dubai,2025-03-21,22:40,02:53,4h 13m,non-stop,2904.9,Economy,4,Summer,Friday,Boeing 777,Mobile App,2,58149.58
FL137456,Lufthansa,DOH,Ahmedabad,2025-05-09,12:15,16:40,266 min,1,2269.3,Economy,29,Summer,Friday,Airbus A380,Travel Agent,1,20460.65
FL116812,,Bangalore,Delhi,2026-10-13,1:05 PM,7:11 PM,6h 06m,2,1863.5,Economy,23,Autumn,Tuesday,Airbus A321,Website,6,5718.63
FL174686,Thai Airways,Bangkok Airport,Bangalore,2025-05-05,01:40,05:22,3h 42m,non-stop,2498.2,Economy,8,Summer,Monday,Boeing 777,Travel Agent,1,43551.35
FL135541,British Airways,DOH,Mumbai,2025-05-25,9:55 AM,,3h 37m,non-stop,2433.1,Economy,39,,Sunday,Airbus A320,Website,one,23492.8
FL124525,SINGAPORE AIRLINES,Ahmedabad,LHR,2025-03-10,08:35,6:15 PM,9.67,0,7156.3,Business,14,Summer,Monday,Boeing 777,Travel Agent,1,200000
FL137151,British Airways,Mumbai Airport,FRA,2026-06-11,07:20,18:04,10h 44m,1,6613.2,Premium Economy,3,Monsoon,Thursday,,Travel Agent,1,106314.79
FL166171,SpiceJet,Ahmedabad,Mumbai,2025-07-06,18:00,19:06,1h 06m,0,470.8,Economy,11,Monsoon,Sunday,Boeing 737,Mobile App,,2000
FL168002,Lufthansa,DXB,Kolkata,2025-06-27,11:00 PM,03:52,4h 53m,non-stop,3415.9,Economy,165,Monsoon,Friday,Airbus A320,Mobile App,5,31843.04
FL138296,SpiceJet,Chennai,Mumbai Airport,2026-07-09,13:05,14:56,1h 51m,0,1057.7,Economy,17,Monsoon,Thursday,Boeing 737,Third-Party,4,3767.2
FL105047,British Airways,Delhi,Bangkok,2026-08-10,12:10,17:52,5h 43m,1,3104.0,Economy,4,Monsoon,Monday,Boeing 787 Dreamliner,Airport Counter,3,
FL184466,Air India,AMD,Delhi,2026-10-09,06:00,07:30,1h 30m,0,782.5,Business,6,Autumn,Friday,Boeing 737,Third-Party,1,21774.02
FL155801,Etihad Airways,London,Doha Airport,,4:25 AM,13:27,9h 02m,1 stop,5309.8,Premium Economy,36,Monsoon,Saturday,Boeing 777,Travel Agent,4,64055.88
FL156628,AirAsia India,Goa,Pune,2026-03-02,19:45,10:03 PM,2h 18m,1 stop,354.1,Economy,0,Summer,Monday,ATR 72,Travel Agent,1,2193.02
FL111441,Vistara,,SYD,2025-04-07,22:10,9:47 PM,23h 37m,non-stop,,Economy,10,Summer,Monday,Airbus A380,,1,179054.26
FL162746,Lufthansa,Singapore,,2026-03-28,14:15,6:40 PM,,,3060.8,Premium Economy,60,Summer,Saturday,Boeing 787 Dreamliner,Mobile App,3,60510.11
FL105131,Vistara,Jaipur,HYD,2026-06-11,11:40,1:40 PM,2h 00m,non-stop,1174.6,Economy,33,Monsoon,,Airbus A320,Website,1,5499.62
FL138914,Qatar Airways,New York Airport,Singapore,2026-12-16,10:25,8:56 AM,22h 32m,1,16303.7,Economy,21,Winter,Wednesday,Airbus A380,Website,4,174709.71
FL131488,ETIHAD AIRWAYS,BKK,Goa,2025-01-23,12:55 PM,17:11,,non-stop,2945.8,Economy,37,Winter,Thursday,Airbus A320,Mobile App,1,
FL154127,ETIHAD AIRWAYS,AMD,Frankfurt Airport,2026-10-01,07:40,18:08,10h 28m,1,6532.4,Economy,12,Autumn,Thursday,Boeing 787 Dreamliner,Website,1,71556.38
FL167359,AirAsia India,Hyderabad,Ahmedabad,2026-09-21,14:15,18:12,3h 57m,2,893.7,Premium Economy,33,Monsoon,Monday,Airbus A321,Travel Agent,1,4927.89
FL186793,Emirates,Hyderabad,Doha Airport,,1:05 AM,05:33,,non-stop,3105.8,Economy,5,Monsoon,Tuesday,Airbus A320,Travel Agent,2,57620.14
FL161873,Emirates,PNQ,DXB,2026-05-30,2:45 PM,7:11 PM,267 min,1 stop,2212.5,Business,8,Summer,Saturday,Airbus A350,Airport Counter,1,88172.5
FL157988,Emirates,Bangkok,Mumbai,2026-06-17,9:50 AM,14:19,4h 29m,0,,Economy,29,Monsoon,Wednesday,Airbus A320,Mobile App,1,35840.46
FL137868,Singapore Airlines,SYD,FRA,,21:10,7:58 PM,22h 48m,0,17397.4,Economy,2,Autumn,Monday,Airbus A320,Airport Counter,5,200000
FL170877,Lufthansa,Ahmedabad,Doha,2026-09-28,4:55 PM,22:01,5h 07m,1,2307.2,Economy,10,Monsoon,Monday,Airbus A350,Mobile App,1,27597.04
FL115766,Qatar Airways,,Pune,2025-04-14,1:00 AM,4:38 AM,3h 39m,0,2454.6,Economy,97,Summer,Monday,Airbus A320,Website,3,28217.75
FL129529,Etihad Airways,Bangkok,Kolkata,2026-03-17,09:30,12:12 PM,2h 43m,non-stop,1726.5,Premium Economy,105,Summer,Tuesday,Boeing 777,Mobile App,1,39881.42
FL104924,Qatar Airways,SIN,Pune,2026-02-25,16:15,,5h 23m,0,3806.7,Economy,0,Winter,Wednesday,Boeing 787 Dreamliner,Website,2,101930.14
FL113230,Lufthansa,Singapore,Frankfurt,2025-02-06,19:20,12:16 PM,16.94,2,10576.8,Economy,7,Winter,Thursday,Airbus A380,Travel Agent,1,102479.07
FL188490,emirates,Hyderabad,,2026-05-01,8:25 AM,02:57,18h 32m,1 stop,13087.3,Business,1,Summer,Friday,Boeing 777,Mobile App,1,"Rs. 200,000.00"
FL161963,Etihad Airways,JFK,Mumbai Airport,2025-10-19,21:15,2:27 PM,17h 12m,0,13028.8,Economy,38,Autumn,Sunday,Boeing 777,Website,1,173064.86
FL185075,Indigo,Delhi Airport,Ahmedabad Airport,2026-07-25,,9:31 AM,3h 01m,1,781.6,Economy,129,Monsoon,Saturday,,Website,1,2639.47
FL108179,Qatar Airways,Pune,Singapore,2026-03-13,01:25,6:56 AM,5.52,non-stop,3915.4,Economy,7,Summer,Friday,Boeing 787 Dreamliner,Third-Party,1,"Rs. 58,138.95"
FL108095,Thai Airways,Bangkok,Delhi,2026-01-23,08:25,13:45,5h 21m,1 stop,2945.1,Economy,2,Winter,Friday,Airbus A350,Website,1,65063.48
FL100299,Emirates,Sydney,Jaipur,2026-11-01,21:40,12:04 PM,864 min,,10844.5,First,4,Autumn,Sunday,Airbus A350,Third-Party,4,200000
FL109776,Indigo,Delhi,,2026-03-20,12:55,16:13,3.30,1,796.1,Economy,12,Summer,Friday,Boeing 737,Website,1,5481.98
FL152944,Emirates,Singapore Airport,Bangalore,2025-10-07,21:45,02:27,4h 43m,0,3284.4,Economy,18,Autumn,Tuesday,,Travel Agent,1,25371.94
FL100699,Lufthansa,Hyderabad,Doha,2026-04-10,9:10 AM,1:35 PM,4h 26m,non-stop,3066.7,Economy,23,Summer,Friday,Airbus A320,Website,5,37645.76
FL153179,Qatar Airways,Bangkok,Delhi,2025-03-01,16:25,8:53 PM,4h 29m,non-stop,3103.3,Economy,24,Summer,Saturday,Boeing 787 Dreamliner,Website,1,45062.14
FL104611,Vistara,Singapore,Dubai,2025-08-06,10:00 AM,19:36,9h 36m,1 stop,5874.9,,0,Monsoon,Wednesday,Airbus A320,,1,74549.86
FL154906,singapore airlines,London Airport,FRA,2025-04-27,10:05 AM,11:27,,0,679.2,Economy,48,Summer,Sunday,Airbus A320,Website,,15000
FL130631,Etihad Airways,Ahmedabad,Doha,2026-03-19,2:50 PM,19:45,296 min,1 stop,2234.4,Economy,34,Summer,Thursday,Boeing 777,Website,1,18578.85
FL119985,Singapore Airlines,Bangalore,DXB,2025-10-30,01:45,7:23 AM,5h 39m,1,2740.4,Economy,12,Autumn,Thursday,Airbus A320,Mobile App,2,30593.15
FL108838,GoFirst,Ahmedabad Airport,Mumbai Airport,2025-02-06,15:30,16:34,1h 05m,0,451.9,Economy,13,Winter,Thursday,Boeing 737,Website,,
FL192146,Air India,New York,Frankfurt,2026-02-18,8:20 PM,05:53,9h 34m,1,6209.1,Economy,137,Winter,Wednesday,Airbus A380,Website,1,48248.55
FL139786,lufthansa,Frankfurt,Singapore,2026-05-03,18:55,10:54,15h 59m,1,10820.5,Economy,0,Summer,Sunday,Airbus A350,,3,200000
FL162989,Lufthansa,Sydney,Dubai,2025-01-21,2:30 AM,20:42,18h 13m,1 stop,,Economy,8,Winter,Tuesday,Boeing 787 Dreamliner,Third-Party,4,200000
FL114325,Qatar Airways,Ahmedabad Airport,Singapore Airport,2026-05-04,18:50,2:34 AM,7h 45m,1,4306.0,Premium Economy,3,Summer,Monday,Boeing 787 Dreamliner,Mobile App,5,75415.8
FL107629,Emirates,Frankfurt,Kolkata Airport,2025-11-29,6:25 PM,5:58 AM,11h 33m,1,7699.8,Business,14,,Saturday,Airbus A350,Mobile App,2,200000
FL106963,Air India,GOI,AMD,2025-08-21,19:10,22:01,2h 52m,,900.4,Economy,126,Monsoon,Thursday,Boeing 737,Airport Counter,1,2966.79
FL106186,Emirates,Jaipur,New York Airport,2025-04-22,7:10 AM,23:33,16h 24m,non-stop,12396.8,Business,26,Summer,Tuesday,Boeing 777,Third-Party,1,200000
FL133916,indigo,Hyderabad,GOI,2026-05-11,15:40,16:54,1h 14m,non-stop,575.4,Economy,103,Summer,Monday,,Mobile App,4,2908.17
FL183121,Lufthansa,Doha Airport,Bangalore,2026-07-20,12:00,,6h 04m,1,3198.0,Economy,11,Monsoon,Monday,Airbus A380,Website,4,36975.52
FL173515,Air India,Chennai,Mumbai,2025-11-10,9:30 AM,12:58 PM,3h 29m,1,1098.4,Economy,45,,Monday,ATR 72,Mobile App,1,3884.45
FL149314,Etihad Airways,,GOI,2026-05-28,02:40,23:48,21h 09m,2,13568.5,Economy,8,Summer,Thursday,Airbus A320,Website,4,110226.37
FL107820,Thai Airways,London,Delhi Airport,2025-06-05,11:45,10:19 PM,10h 35m,1 stop,6792.5,Premium Economy,3,Monsoon,Thursday,Boeing 787 Dreamliner,Mobile App,2,130245.83
FL183278,SpiceJet,Ahmedabad Airport,Kolkata,2025-12-24,05:40,08:24,,non-stop,1746.2,Economy,14,Winter,Wednesday,Airbus A320,Third-Party,1,9909.19
FL149026,Etihad Airways,Bangalore,New York,2025-08-16,,6:31 AM,19h 52m,1 stop,14275.7,Business,37,Monsoon,Saturday,Airbus A380,Mobile App,1,200000
FL112602,Vistara,Delhi,Pune,2026-04-10,5:05 PM,20:24,3h 19m,1,,Economy,0,Summer,Friday,Airbus A321,,4,11180.21
FL120070,emirates,Jaipur Airport,London,2025-09-22,15:20,02:09,10h 49m,1,7213.4,,38,Monsoon,Monday,Airbus A320,Mobile App,1,48876.71
FL129971,AirAsia India,,DEL,2025-05-19,14:10,16:17,,non-stop,1265.6,Economy,9,Summer,Monday,Airbus A320,Website,2,7241.41
FL176409,Thai Airways,Goa,Dubai,2025-09-26,9:50 AM,13:15,3h 25m,0,2279.2,Economy,113 days,Monsoon,Friday,Airbus A320,Mobile App,2,
FL169270,Vistara,Pune,Kolkata Airport,2025-03-19,4:35 PM,19:10,2h 35m,,1626.0,Economy,8,Summer,Wednesday,ATR 72,Third-Party,1,9205.18
FL176285,GoFirst,Mumbai Airport,Chennai,2026-04-28,16:30,,1h 51m,0,1057.2,Economy,22,Summer,Tuesday,Airbus A321,Mobile App,3,4562.44
FL169045,Vistara,PNQ,JAI,2026-06-05,18:05,19:51,1h 47m,0,997.8,Economy,10,Monsoon,Friday,ATR 72,Mobile App,6,9304.27
FL162847,Singapore Airlines,New York,Dubai,2025-03-16,06:35,10:50 PM,16h 16m,1,11112.5,Economy,33,Summer,Sunday,Airbus A320,Travel Agent,2,120534.34
FL150448,Vistara,Jaipur,Ahmedabad,2026-03-09,2:05 AM,04:40,2h 35m,1,543.3,Economy,32,Summer,Monday,Boeing 737,Mobile App,2,3039.09
FL165705,,Pune,Mumbai,2025-12-23,3:05 AM,03:50,0h 45m,,150,Business,23,Winter,,Airbus A320,Third-Party,2,2558.63
FL188315,AirAsia India,BOM,Goa,2025-01-19,23:15,12:18 AM,1h 04m,0,438.1,Premium Economy,41,Winter,Sunday,Boeing 737,Website,2,4325.86
FL152823,Emirates,London,Hyderabad,2026-02-14,15:15,04:45,13.51,2,8149.7,Business,8,Winter,Saturday,Boeing 777,,1,200000
FL127594,Thai Airways,Pune Airport,New York Airport,2025-12-11,04:50,23:41,18h 52m,1,13007.2 km,,44,Winter,Thursday,Boeing 787 Dreamliner,Travel Agent,1,178774.13
FL118882,Emirates,Delhi,Bangkok Airport,2026-06-18,4:30 AM,11:14 AM,6.74,2 stops,3136.9,,11,Monsoon,Thursday,Airbus A320,Mobile App,4,76313.25
FL123495,Air India,HYD,Frankfurt,2025-10-23,4:40 PM,05:22,12.71,2 stops,7630.3 km,Economy,1,Autumn,Thursday,Boeing 787 Dreamliner,Website,1,89445.99
FL104018,QATAR AIRWAYS,Bangkok,MAA,2026-06-30,10:20 PM,2:54 AM,274 min,,2275.2,Economy,11,Monsoon,Tuesday,Boeing 787 Dreamliner,Website,3,"Rs. 28,275.04"
FL152802,Vistara,DXB,Kolkata,2025-11-15,8:45 PM,1:43 AM,298 min,non-stop,,Economy,3,Autumn,,Boeing 777,Travel Agent,3,56322.52
FL189786,etihad airways,SIN,Frankfurt,2025-10-14,6:15 PM,10:12,15h 58m,,10889.8,Economy,17,Autumn,Tuesday,Airbus A380,Mobile App,4,80379.16
FL185699,GOFIRST,Jaipur,DEL,2026-01-27,4:05 PM,,0h 49m,non-stop,241.8,Business,35,Winter,Tuesday,Boeing 737,Mobile App,4,3152.34
FL180340,Qatar Airways,Bangalore,London,2025-07-01,,10:38 PM,10h 54m,,8110.8,Premium Economy,10,Monsoon,Tuesday,Airbus A350,Website,1,113967.5
FL143409,Emirates,DEL,Frankfurt,2025-05-26,22:10,6:46 AM,8h 37m,0,,Economy,11,Summer,Monday,Boeing 787 Dreamliner,Mobile App,3,90719.58
FL192871,Indigo,Hyderabad,Delhi,,,05:00,3h 26m,1,1333.6,Economy,12,Winter,Friday,Airbus A321,Website,1,8277.4
FL103911,Qatar Airways,Frankfurt,Delhi,2025-03-02,1:00 AM,09:47,8h 47m,0,6464.1,Economy,92,Summer,Sunday,Airbus A380,Website,1,48936.89
FL111158,Qatar Airways,JFK,FRA,2025-11-22,6:25 PM,4:37 AM,10h 13m,1,6394.2,,1,Autumn,Saturday,Airbus A380,Travel Agent,2,84557.08
FL135116,lufthansa,Bangalore,New York,2026-08-27,21:10,16:00,18h 51m,non-stop,14310.1,Premium Economy,,Monsoon,Thursday,Airbus A350,Third-Party,2,200000
